temp	cp
5.67643	-6.47327E-4
5.69333	-6.46303E-4
5.71265	-6.4591E-4
5.72845	-6.44192E-4
5.74504	-6.4529E-4
5.76094	-6.45009E-4
5.77628	-6.44866E-4
5.79453	-6.45671E-4
5.80929	-6.43993E-4
5.8268	-6.41911E-4
5.84494	-6.42182E-4
5.8595	-6.41789E-4
5.8776	-6.42869E-4
5.89332	-6.4333E-4
5.9099	-6.42833E-4
5.92819	-6.41542E-4
5.94291	-6.44099E-4
5.96076	-6.4265E-4
5.97713	-6.4325E-4
5.99403	-6.43467E-4
6.01036	-6.42415E-4
6.02487	-6.42708E-4
6.04106	-6.43782E-4
6.06079	-6.44067E-4
6.07479	-6.42981E-4
6.09094	-6.42712E-4
6.10939	-6.421E-4
6.12545	-6.41845E-4
6.14233	-6.43013E-4
6.15985	-6.43846E-4
6.17351	-6.44433E-4
6.19292	-6.42594E-4
6.20888	-6.41349E-4
6.2254	-6.42485E-4
6.24195	-6.42791E-4
6.25923	-6.42471E-4
6.27467	-6.42652E-4
6.29122	-6.41829E-4
6.30573	-6.41417E-4
6.32342	-6.4142E-4
6.34139	-6.41707E-4
6.35653	-6.41458E-4
6.37439	-6.41785E-4
6.39109	-6.41052E-4
6.40809	-6.40498E-4
6.4244	-6.40534E-4
6.44034	-6.40404E-4
6.45692	-6.38405E-4
6.47471	-6.37636E-4
6.48906	-6.3829E-4
6.50758	-6.39043E-4
6.5238	-6.39703E-4
6.53996	-6.38376E-4
6.55799	-6.36221E-4
6.57582	-6.3717E-4
6.58971	-6.38176E-4
6.60573	-6.3939E-4
6.62364	-6.40488E-4
6.64198	-6.39135E-4
6.65807	-6.37383E-4
6.67491	-6.37949E-4
6.68999	-6.38103E-4
6.70591	-6.38425E-4
6.72322	-6.38274E-4
6.73978	-6.37945E-4
6.75781	-6.37214E-4
6.77554	-6.37467E-4
6.791	-6.36293E-4
6.80704	-6.35544E-4
6.82198	-6.36389E-4
6.83975	-6.37146E-4
6.85465	-6.38411E-4
6.87034	-6.38888E-4
6.88949	-6.37754E-4
6.90531	-6.38065E-4
6.92014	-6.39386E-4
6.93827	-6.37369E-4
6.95659	-6.3606E-4
6.97133	-6.35743E-4
6.98898	-6.36245E-4
7.00593	-6.35819E-4
7.02126	-6.35616E-4
7.03741	-6.35008E-4
7.05593	-6.3508E-4
7.07176	-6.36405E-4
7.08842	-6.36044E-4
7.10586	-6.34996E-4
7.12217	-6.33886E-4
7.13567	-6.34635E-4
7.15264	-6.36317E-4
7.1699	-6.36281E-4
7.18835	-6.36062E-4
7.20474	-6.37409E-4
7.22114	-6.35843E-4
7.23559	-6.35243E-4
7.25334	-6.34827E-4
7.27221	-6.35729E-4
7.28681	-6.36194E-4
7.30238	-6.34605E-4
7.32276	-6.33848E-4
7.33888	-6.33013E-4
7.35158	-6.33563E-4
7.36953	-6.35315E-4
7.38942	-6.32599E-4
7.40563	-6.32517E-4
7.42169	-6.33695E-4
7.43715	-6.34067E-4
7.45473	-6.34486E-4
7.47111	-6.33908E-4
7.48805	-6.33013E-4
7.50451	-6.33462E-4
7.52135	-6.32597E-4
7.53867	-6.32856E-4
7.55622	-6.32629E-4
7.57363	-6.3231E-4
7.5901	-6.33292E-4
7.60526	-6.32945E-4
7.62235	-6.34043E-4
7.63931	-6.33872E-4
